Sep  6, 2018 10:35:01.212394829 CEST,IntelCor_e9:e7:79,88:b1:11:e9:e7:79,-92,eduroam
Sep  6, 2018 10:35:01.354239958 CEST,Azurewav_25:42:b7,74:c6:3b:25:42:b7,-77,
Sep  6, 2018 10:35:01.598846238 CEST,Azurewav_25:42:b7,74:c6:3b:25:42:b7,-79,
Sep  6, 2018 10:35:01.622387555 CEST,Azurewav_25:42:b7,74:c6:3b:25:42:b7,-80,
Sep  6, 2018 10:35:01.737154595 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-35,wlan_saltuaria
Sep  6, 2018 10:35:02.211837672 CEST,Google_f0:6f:49,da:a1:19:f0:6f:49,-93,Swisscom_Auto_Login
Sep  6, 2018 10:35:06.649421875 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-35,wlan_saltuaria
Sep  6, 2018 10:35:06.764193935 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-34,wlan_saltuaria
Sep  6, 2018 10:35:06.873795742 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-36,wlan_saltuaria
Sep  6, 2018 10:35:06.917125669 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-35,wlan_saltuaria
Sep  6, 2018 10:35:07.060503041 CEST,Apple_c9:0d:55,f4:5c:89:c9:0d:55,-67,wlan_saltuaria
Sep  6, 2018 10:35:09.018273843 CEST,LiteonTe_d9:15:d5,58:00:e3:d9:15:d5,-87,
Sep  6, 2018 10:35:10.365046983 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-88,
Sep  6, 2018 10:35:10.378186852 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-87,
Sep  6, 2018 10:35:10.392204179 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-84,
Sep  6, 2018 10:35:10.403792353 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-85,
Sep  6, 2018 10:35:12.189877560 CEST,Google_4f:8a:dd,da:a1:19:4f:8a:dd,-93,Swisscom_Auto_Login
Sep  6, 2018 10:35:12.214221786 CEST,Google_4f:8a:dd,da:a1:19:4f:8a:dd,-94,Swisscom_Auto_Login
Sep  6, 2018 10:35:12.217949685 CEST,Google_4f:8a:dd,da:a1:19:4f:8a:dd,-95,
Sep  6, 2018 10:35:14.052536204 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-83,
Sep  6, 2018 10:35:14.057468284 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-83,
Sep  6, 2018 10:35:14.074451219 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-84,
Sep  6, 2018 10:35:14.086894748 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-85,
Sep  6, 2018 10:35:16.481010701 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-38,wlan_saltuaria
Sep  6, 2018 10:35:16.593832982 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-37,wlan_saltuaria
Sep  6, 2018 10:35:16.704188195 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-37,wlan_saltuaria
Sep  6, 2018 10:35:16.744499774 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-37,wlan_saltuaria
Sep  6, 2018 10:35:16.994543241 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-70,wlan_saltuaria
Sep  6, 2018 10:35:17.151113352 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-74,wlan_saltuaria
Sep  6, 2018 10:35:17.237551936 CEST,Apple_b6:b2:bd,98:01:a7:b6:b2:bd,-81,wlan_saltuaria
Sep  6, 2018 10:35:17.950032179 CEST,AsustekC_03:ad:0c,d0:17:c2:03:ad:0c,-87,
Sep  6, 2018 10:35:17.966603334 CEST,AsustekC_03:ad:0c,d0:17:c2:03:ad:0c,-87,
Sep  6, 2018 10:35:17.975727908 CEST,AsustekC_03:ad:0c,d0:17:c2:03:ad:0c,-85,
Sep  6, 2018 10:35:17.996884564 CEST,AsustekC_03:ad:0c,d0:17:c2:03:ad:0c,-91,
Sep  6, 2018 10:35:21.665906178 CEST,6e:ed:f2:37:8d:20,6e:ed:f2:37:8d:20,-89,
Sep  6, 2018 10:35:21.684935568 CEST,6e:ed:f2:37:8d:20,6e:ed:f2:37:8d:20,-90,
