Sep  6, 2018 10:47:32.439292960 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-87;
Sep  6, 2018 10:47:33.008473036 CEST;Apple_12:a4:f8;58:40:4e:12:a4:f8;-85;
Sep  6, 2018 10:47:34.564506155 CEST;fe:7a:ea:1e:bf:39;fe:7a:ea:1e:bf:39;-89;
Sep  6, 2018 10:47:35.301706828 CEST;4e:8c:30:88:e1:9d;4e:8c:30:88:e1:9d;-82;
Sep  6, 2018 10:47:35.327090542 CEST;4e:8c:30:88:e1:9d;4e:8c:30:88:e1:9d;-81;
Sep  6, 2018 10:47:35.346918691 CEST;4e:8c:30:88:e1:9d;4e:8c:30:88:e1:9d;-82;
Sep  6, 2018 10:47:36.023149321 CEST;RivetNet_16:fa:31;9c:b6:d0:16:fa:31;-79;
Sep  6, 2018 10:47:36.101672486 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-87;
Sep  6, 2018 10:47:36.128483942 CEST;RivetNet_16:fa:31;9c:b6:d0:16:fa:31;-67;
Sep  6, 2018 10:47:36.655498176 CEST;AmazonTe_66:81:b1;fc:a6:67:66:81:b1;-93;polimi
Sep  6, 2018 10:47:36.658750293 CEST;AmazonTe_66:81:b1;fc:a6:67:66:81:b1;-92;
Sep  6, 2018 10:47:39.576418933 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-52;polimi
Sep  6, 2018 10:47:39.586133817 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-54;polimi
Sep  6, 2018 10:47:39.601648948 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-57;polimi
Sep  6, 2018 10:47:39.609500493 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-57;polimi
Sep  6, 2018 10:47:39.649565992 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-83;polimi
Sep  6, 2018 10:47:39.953745737 CEST;HonHaiPr_e3:83:0b;44:1c:a8:e3:83:0b;-89;
Sep  6, 2018 10:47:39.972927751 CEST;HonHaiPr_e3:83:0b;44:1c:a8:e3:83:0b;-90;
Sep  6, 2018 10:47:39.995878832 CEST;HonHaiPr_e3:83:0b;44:1c:a8:e3:83:0b;-90;
Sep  6, 2018 10:47:42.268940081 CEST;HonHaiPr_e3:83:0b;44:1c:a8:e3:83:0b;-90;
Sep  6, 2018 10:47:42.288808769 CEST;HonHaiPr_e3:83:0b;44:1c:a8:e3:83:0b;-93;
Sep  6, 2018 10:47:42.357096878 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-59;
Sep  6, 2018 10:47:42.376116247 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-49;
Sep  6, 2018 10:47:42.387031380 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-55;
Sep  6, 2018 10:47:42.993623624 CEST;ae:eb:b6:a4:76:d0;ae:eb:b6:a4:76:d0;-82;
Sep  6, 2018 10:47:43.010946919 CEST;ae:eb:b6:a4:76:d0;ae:eb:b6:a4:76:d0;-81;
Sep  6, 2018 10:47:43.127317402 CEST;a6:1b:15:dd:bd:68;a6:1b:15:dd:bd:68;-84;
Sep  6, 2018 10:47:43.146250287 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-48;polimi
Sep  6, 2018 10:47:43.156715524 CEST;HonHaiPr_99:82:ed;d8:5d:e2:99:82:ed;-49;polimi
Sep  6, 2018 10:47:44.180105855 CEST;IntelCor_e9:e7:79;88:b1:11:e9:e7:79;-94;eduroam
Sep  6, 2018 10:47:46.467853557 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-89;
Sep  6, 2018 10:47:46.483563018 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-89;
Sep  6, 2018 10:47:46.647308640 CEST;Azurewav_d2:15:19;24:0a:64:d2:15:19;-62;
Sep  6, 2018 10:47:46.667160403 CEST;Azurewav_d2:15:19;24:0a:64:d2:15:19;-70;
Sep  6, 2018 10:47:46.906756501 CEST;Azurewav_d2:15:19;24:0a:64:d2:15:19;-71;
Sep  6, 2018 10:47:47.477854097 CEST;Raspberr_19:dc:80;b8:27:eb:19:dc:80;-60;
Sep  6, 2018 10:47:47.484326601 CEST;AmazonTe_66:81:b1;fc:a6:67:66:81:b1;-89;polimi
Sep  6, 2018 10:47:47.485392410 CEST;AmazonTe_66:81:b1;fc:a6:67:66:81:b1;-92;
Sep  6, 2018 10:47:47.507189715 CEST;Raspberr_19:dc:80;b8:27:eb:19:dc:80;-65;
Sep  6, 2018 10:47:47.523568506 CEST;Raspberr_19:dc:80;b8:27:eb:19:dc:80;-60;
Sep  6, 2018 10:47:47.546100410 CEST;Raspberr_19:dc:80;b8:27:eb:19:dc:80;-60;
Sep  6, 2018 10:47:50.156139092 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-82;
Sep  6, 2018 10:47:50.170646071 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-83;
Sep  6, 2018 10:47:50.186041738 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-86;
Sep  6, 2018 10:47:50.196992827 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-87;
