Sep  6, 2018 10:16:48.167232556 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-75|
Sep  6, 2018 10:16:48.195116478 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-78|
Sep  6, 2018 10:16:48.203985389 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-77|
Sep  6, 2018 10:16:48.231609153 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-86|
Sep  6, 2018 10:16:50.145041768 CEST|AmazonTe_66:81:b1|fc:a6:67:66:81:b1|-86|
Sep  6, 2018 10:16:50.212156993 CEST|AmazonTe_66:81:b1|fc:a6:67:66:81:b1|-88|
Sep  6, 2018 10:16:50.790265474 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-86|
Sep  6, 2018 10:16:50.796846934 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-85|
Sep  6, 2018 10:16:50.806673548 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-84|
Sep  6, 2018 10:16:50.834387405 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-83|
Sep  6, 2018 10:16:50.843624842 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-83|
Sep  6, 2018 10:16:50.847926731 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-83|
Sep  6, 2018 10:16:50.859236623 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-82|
Sep  6, 2018 10:16:51.142999183 CEST|AmazonTe_66:81:b1|fc:a6:67:66:81:b1|-89|
Sep  6, 2018 10:16:51.208457843 CEST|AmazonTe_66:81:b1|fc:a6:67:66:81:b1|-91|
Sep  6, 2018 10:16:51.443889637 CEST|Apple_a9:03:26|b0:70:2d:a9:03:26|-72|
Sep  6, 2018 10:16:58.526318427 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-73|
Sep  6, 2018 10:16:58.550502187 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-76|
Sep  6, 2018 10:16:58.558068330 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-77|
Sep  6, 2018 10:16:59.109744297 CEST|02:94:bd:85:e7:37|02:94:bd:85:e7:37|-81|
Sep  6, 2018 10:17:00.022714191 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-81|
Sep  6, 2018 10:17:00.043581882 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-84|
Sep  6, 2018 10:17:00.301342133 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-85|
Sep  6, 2018 10:17:01.267010462 CEST|IntelCor_e9:e7:79|88:b1:11:e9:e7:79|-90|eduroam
Sep  6, 2018 10:17:02.207627796 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-75|
Sep  6, 2018 10:17:02.221745789 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-76|
Sep  6, 2018 10:17:02.238307703 CEST|Apple_c8:fc:96|60:f8:1d:c8:fc:96|-78|
Sep  6, 2018 10:17:02.294407837 CEST|Apple_c9:0d:55|f4:5c:89:c9:0d:55|-72|wlan_saltuaria
Sep  6, 2018 10:17:02.404369578 CEST|Apple_c9:0d:55|f4:5c:89:c9:0d:55|-74|wlan_saltuaria
Sep  6, 2018 10:17:02.512458172 CEST|Apple_c9:0d:55|f4:5c:89:c9:0d:55|-76|wlan_saltuaria
Sep  6, 2018 10:17:02.525727819 CEST|Apple_c9:0d:55|f4:5c:89:c9:0d:55|-75|wlan_saltuaria
