Sep  5, 2018 15:45:48.086316072 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|PosteWiFi
Sep  5, 2018 15:45:48.087591298 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-66|TNCAP40E275
Sep  5, 2018 15:45:48.088798876 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Vodafone Casa
Sep  5, 2018 15:45:49.019072342 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|G3_1743
Sep  5, 2018 15:45:49.023602475 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|szivutca_2
Sep  5, 2018 15:45:49.025862072 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Fasteweb-Casa
Sep  5, 2018 15:45:49.034919217 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|TIM-78652545
Sep  5, 2018 15:45:49.038878524 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|PosteWiFi
Sep  5, 2018 15:45:49.044433119 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Vodafone Casa
Sep  5, 2018 15:45:49.081183453 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-70|wlan_saltuaria
Sep  5, 2018 15:45:49.089095582 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-67|wlan_saltuaria
Sep  5, 2018 15:45:50.566818701 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Limonetwork 5 GHz
Sep  5, 2018 15:45:50.569242165 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|szivutca_2
Sep  5, 2018 15:45:50.571486133 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Fasteweb-Casa
Sep  5, 2018 15:45:50.572706873 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:45:50.576211661 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Pc-Gio
Sep  5, 2018 15:45:50.577322794 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Lola3
Sep  5, 2018 15:45:50.580409952 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|TIM-78652545
Sep  5, 2018 15:45:50.583232987 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Vodafone-33789655
Sep  5, 2018 15:45:50.585690578 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|PosteWiFi
Sep  5, 2018 15:45:50.587932669 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|TNCAP40E275
Sep  5, 2018 15:45:50.589086720 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Vodafone Casa
Sep  5, 2018 15:45:51.522620712 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Fasteweb-Casa
Sep  5, 2018 15:45:51.534541384 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|PosteWiFi
Sep  5, 2018 15:45:56.409642395 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-91|polimi-protected
Sep  5, 2018 15:45:56.423679422 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-85|polimi-protected
Sep  5, 2018 15:45:56.613878041 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-90|polimi-protected
Sep  5, 2018 15:46:00.075685561 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|G3_1743
Sep  5, 2018 15:46:00.092856097 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|TIM-78652545
Sep  5, 2018 15:46:00.095241442 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Vodafone-33789655
Sep  5, 2018 15:46:00.097534725 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|PosteWiFi
Sep  5, 2018 15:46:00.098245910 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TNCAP40E275
Sep  5, 2018 15:46:00.099444913 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Vodafone Casa
Sep  5, 2018 15:46:01.053183351 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TNCAP40E275
Sep  5, 2018 15:46:02.696232356 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-45|
