Sep  5, 2018 15:38:41.559874496 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-61|
Sep  5, 2018 15:38:44.302570900 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-78|
Sep  5, 2018 15:38:44.334929070 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-80|
Sep  5, 2018 15:38:45.021068924 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-75|
Sep  5, 2018 15:38:47.831214570 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-77|
Sep  5, 2018 15:38:47.852773406 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-80|
Sep  5, 2018 15:38:48.244302526 CEST|ce:3a:ea:63:06:3e|ce:3a:ea:63:06:3e|-90|
Sep  5, 2018 15:38:49.054845615 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-80|
Sep  5, 2018 15:38:49.067853476 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-80|
Sep  5, 2018 15:38:51.319090245 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-86|polimi-protected
Sep  5, 2018 15:38:51.327387363 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-87|polimi-protected
Sep  5, 2018 15:38:51.907151733 CEST|Apple_6e:de:88|78:4f:43:6e:de:88|-92|polimi
Sep  5, 2018 15:38:55.928029234 CEST|b2:22:7a:1c:5a:8a|b2:22:7a:1c:5a:8a|-80|
Sep  5, 2018 15:38:57.080017630 CEST|IntelCor_c5:9a:d1|84:ef:18:c5:9a:d1|-84|
Sep  5, 2018 15:38:58.936753371 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|VodafoneCasa
Sep  5, 2018 15:38:58.938982035 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Vodafone-StoreCarugate
Sep  5, 2018 15:38:58.941317427 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|G3_1743
Sep  5, 2018 15:38:58.942536977 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Limonetwork 5 GHz
Sep  5, 2018 15:38:58.945793247 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|szivutca_2
Sep  5, 2018 15:38:58.948121764 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Fasteweb-Casa
Sep  5, 2018 15:38:58.950437274 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:38:58.954325633 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Pc-Gio
Sep  5, 2018 15:38:58.956673230 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|TIM-78652545
Sep  5, 2018 15:38:58.959105757 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Vodafone-33789655
Sep  5, 2018 15:38:58.961469822 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|PosteWiFi
Sep  5, 2018 15:38:59.892332233 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Fasteweb-Casa
Sep  5, 2018 15:38:59.894793476 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:38:59.897057639 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Pc-Gio
Sep  5, 2018 15:38:59.901637212 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|TIM-78652545
Sep  5, 2018 15:38:59.905202802 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Vodafone-33789655
Sep  5, 2018 15:39:00.441832717 CEST|SamsungE_75:af:f8|4c:dd:31:75:af:f8|-88|
Sep  5, 2018 15:39:00.697222499 CEST|SamsungE_ad:f6:69|30:07:4d:ad:f6:69|-80|
Sep  5, 2018 15:39:00.730876118 CEST|SamsungE_ad:f6:69|30:07:4d:ad:f6:69|-76|
Sep  5, 2018 15:39:01.088094342 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-69|
Sep  5, 2018 15:39:01.117592763 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-65|
Sep  5, 2018 15:39:01.124970787 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-65|
Sep  5, 2018 15:39:03.043787614 CEST|e2:92:ba:cc:f6:eb|e2:92:ba:cc:f6:eb|-87|
Sep  5, 2018 15:39:03.069183594 CEST|e2:92:ba:cc:f6:eb|e2:92:ba:cc:f6:eb|-85|
Sep  5, 2018 15:39:03.402203449 CEST|Google_fc:6a:0d|da:a1:19:fc:6a:0d|-69|
Sep  5, 2018 15:39:03.504925597 CEST|Google_fc:6a:0d|da:a1:19:fc:6a:0d|-71|
Sep  5, 2018 15:39:07.929637193 CEST|2a:22:f9:c9:09:ec|2a:22:f9:c9:09:ec|-77|
Sep  5, 2018 15:39:07.929643947 CEST|2a:22:f9:c9:09:ec|2a:22:f9:c9:09:ec|-77|
Sep  5, 2018 15:39:07.929645867 CEST|2a:22:f9:c9:09:ec|2a:22:f9:c9:09:ec|-77|
