Sep  5, 2018 18:09:50.135901422 CEST|MurataMa_c9:d1:4d|a0:c9:a0:c9:d1:4d|-55|
Sep  5, 2018 18:09:50.176385479 CEST|MurataMa_c9:d1:4d|a0:c9:a0:c9:d1:4d|-58|
Sep  5, 2018 18:09:50.220243184 CEST|MurataMa_c9:d1:4d|a0:c9:a0:c9:d1:4d|-62|
Sep  5, 2018 18:09:50.269322998 CEST|MurataMa_c9:d1:4d|a0:c9:a0:c9:d1:4d|-61|
Sep  5, 2018 18:09:50.360096350 CEST|1e:d8:41:8f:83:db|1e:d8:41:8f:83:db|-78|
Sep  5, 2018 18:09:50.382719753 CEST|1e:d8:41:8f:83:db|1e:d8:41:8f:83:db|-76|
Sep  5, 2018 18:09:50.402606549 CEST|1e:d8:41:8f:83:db|1e:d8:41:8f:83:db|-75|
Sep  5, 2018 18:09:50.425861189 CEST|1e:d8:41:8f:83:db|1e:d8:41:8f:83:db|-75|
Sep  5, 2018 18:09:50.686953692 CEST|da:0b:cb:9d:c7:f9|da:0b:cb:9d:c7:f9|-66|
Sep  5, 2018 18:09:50.706903897 CEST|da:0b:cb:9d:c7:f9|da:0b:cb:9d:c7:f9|-69|
Sep  5, 2018 18:09:51.837497815 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-64|
Sep  5, 2018 18:09:51.883291735 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-66|
Sep  5, 2018 18:09:52.291151546 CEST|HuaweiTe_11:b6:82|88:44:77:11:b6:82|-92|
Sep  5, 2018 18:09:52.709714050 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-91|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:09:52.752613464 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-66|
Sep  5, 2018 18:09:52.777374671 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-67|
Sep  5, 2018 18:09:52.800297642 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-73|
Sep  5, 2018 18:09:52.822201448 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-72|
Sep  5, 2018 18:09:52.898854484 CEST|SamsungE_8f:14:2b|28:27:bf:8f:14:2b|-92|
Sep  5, 2018 18:09:52.899934645 CEST|SamsungE_8f:14:2b|28:27:bf:8f:14:2b|-91|
Sep  5, 2018 18:09:52.902102305 CEST|SamsungE_8f:14:2b|28:27:bf:8f:14:2b|-92|wi fi first
Sep  5, 2018 18:09:52.903028975 CEST|SamsungE_8f:14:2b|28:27:bf:8f:14:2b|-95|wi fi first
Sep  5, 2018 18:09:53.719691860 CEST|ce:8d:21:a8:e0:2e|ce:8d:21:a8:e0:2e|-61|
Sep  5, 2018 18:09:53.743979002 CEST|ce:8d:21:a8:e0:2e|ce:8d:21:a8:e0:2e|-59|
Sep  5, 2018 18:09:53.887330958 CEST|SamsungE_dd:f0:1f|c8:d7:b0:dd:f0:1f|-96|
Sep  5, 2018 18:09:53.927872025 CEST|SamsungE_dd:f0:1f|c8:d7:b0:dd:f0:1f|-94|
Sep  5, 2018 18:09:53.970248102 CEST|SamsungE_dd:f0:1f|c8:d7:b0:dd:f0:1f|-91|
Sep  5, 2018 18:09:55.008389481 CEST|d6:2c:55:e4:b5:75|d6:2c:55:e4:b5:75|-93|
Sep  5, 2018 18:09:55.092896684 CEST|Google_d5:32:16|da:a1:19:d5:32:16|-61|
Sep  5, 2018 18:09:55.118945180 CEST|Google_d5:32:16|da:a1:19:d5:32:16|-60|
Sep  5, 2018 18:09:55.139201003 CEST|Google_d5:32:16|da:a1:19:d5:32:16|-61|
Sep  5, 2018 18:09:55.162715779 CEST|Google_d5:32:16|da:a1:19:d5:32:16|-60|
Sep  5, 2018 18:09:55.243471184 CEST|fa:36:e3:3d:07:20|fa:36:e3:3d:07:20|-76|
Sep  5, 2018 18:09:55.265737669 CEST|fa:36:e3:3d:07:20|fa:36:e3:3d:07:20|-77|
Sep  5, 2018 18:09:55.657853177 CEST|ea:3d:23:4a:08:df|ea:3d:23:4a:08:df|-77|
Sep  5, 2018 18:09:56.274723172 CEST|d2:a2:85:38:a7:40|d2:a2:85:38:a7:40|-82|
Sep  5, 2018 18:09:56.315576227 CEST|d2:a2:85:38:a7:40|d2:a2:85:38:a7:40|-83|
Sep  5, 2018 18:09:56.410828833 CEST|Apple_d0:d6:d5|98:b8:e3:d0:d6:d5|-90|
Sep  5, 2018 18:09:56.432990519 CEST|Apple_d0:d6:d5|98:b8:e3:d0:d6:d5|-84|
Sep  5, 2018 18:09:56.454932621 CEST|Apple_d0:d6:d5|98:b8:e3:d0:d6:d5|-87|
Sep  5, 2018 18:09:56.464785372 CEST|0a:24:0d:8c:16:4a|0a:24:0d:8c:16:4a|-73|
Sep  5, 2018 18:09:56.521658680 CEST|0a:24:0d:8c:16:4a|0a:24:0d:8c:16:4a|-74|
Sep  5, 2018 18:09:56.582424750 CEST|0a:24:0d:8c:16:4a|0a:24:0d:8c:16:4a|-78|
Sep  5, 2018 18:09:56.635366807 CEST|0a:24:0d:8c:16:4a|0a:24:0d:8c:16:4a|-75|
Sep  5, 2018 18:09:57.030492235 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-69|ISPMobile
Sep  5, 2018 18:09:57.032488916 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-68|Vodafone-34670885
Sep  5, 2018 18:09:57.063042731 CEST|ee:5a:16:cd:9e:ae|ee:5a:16:cd:9e:ae|-55|
Sep  5, 2018 18:09:57.106542519 CEST|ee:5a:16:cd:9e:ae|ee:5a:16:cd:9e:ae|-54|
Sep  5, 2018 18:09:57.381380120 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-68|ISPMobile
Sep  5, 2018 18:09:57.382212891 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-68|Vodafone-34670885
Sep  5, 2018 18:09:57.408666160 CEST|Google_b2:9f:f8|da:a1:19:b2:9f:f8|-58|
Sep  5, 2018 18:09:57.446814541 CEST|Google_b2:9f:f8|da:a1:19:b2:9f:f8|-58|
Sep  5, 2018 18:09:57.531873093 CEST|Google_b2:9f:f8|da:a1:19:b2:9f:f8|-62|
Sep  5, 2018 18:09:58.146647712 CEST|ce:88:6b:8f:33:af|ce:88:6b:8f:33:af|-81|
Sep  5, 2018 18:09:58.162343852 CEST|SamsungE_df:c9:25|68:5a:cf:df:c9:25|-93|
Sep  5, 2018 18:09:58.171542383 CEST|SamsungE_df:c9:25|68:5a:cf:df:c9:25|-95|VCBCJT09RZHP
Sep  5, 2018 18:09:58.193640628 CEST|ce:88:6b:8f:33:af|ce:88:6b:8f:33:af|-83|
Sep  5, 2018 18:09:58.201131583 CEST|SamsungE_df:c9:25|68:5a:cf:df:c9:25|-94|VCBCJT09RZHP
Sep  5, 2018 18:09:58.202221607 CEST|SamsungE_df:c9:25|68:5a:cf:df:c9:25|-92|
Sep  5, 2018 18:09:58.212802869 CEST|MurataMa_c9:d1:4d|a0:c9:a0:c9:d1:4d|-51|
Sep  5, 2018 18:09:58.255702510 CEST|MurataMa_c9:d1:4d|a0:c9:a0:c9:d1:4d|-57|
Sep  5, 2018 18:09:58.421230081 CEST|fa:53:04:b5:8d:fc|fa:53:04:b5:8d:fc|-88|
Sep  5, 2018 18:09:58.430422648 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-64|
Sep  5, 2018 18:09:58.443317626 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-64|
Sep  5, 2018 18:09:58.463955522 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-72|
Sep  5, 2018 18:09:58.496066473 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-69|
Sep  5, 2018 18:09:58.543858961 CEST|fe:0e:1c:e9:2c:c4|fe:0e:1c:e9:2c:c4|-89|
Sep  5, 2018 18:09:58.583565613 CEST|SamsungE_b0:fd:2a|30:07:4d:b0:fd:2a|-81|
Sep  5, 2018 18:09:58.623323810 CEST|SamsungE_b0:fd:2a|30:07:4d:b0:fd:2a|-77|
Sep  5, 2018 18:09:58.670613432 CEST|SamsungE_b0:fd:2a|30:07:4d:b0:fd:2a|-82|
Sep  5, 2018 18:09:58.705051412 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-79|
Sep  5, 2018 18:09:58.712746511 CEST|SamsungE_b0:fd:2a|30:07:4d:b0:fd:2a|-79|
Sep  5, 2018 18:09:58.750358032 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-79|
Sep  5, 2018 18:09:59.109311715 CEST|fe:bc:1a:a4:36:dc|fe:bc:1a:a4:36:dc|-80|
Sep  5, 2018 18:09:59.124762921 CEST|9a:a4:19:18:a2:d3|9a:a4:19:18:a2:d3|-80|
Sep  5, 2018 18:09:59.130227588 CEST|fe:bc:1a:a4:36:dc|fe:bc:1a:a4:36:dc|-83|
Sep  5, 2018 18:09:59.143735781 CEST|9a:a4:19:18:a2:d3|9a:a4:19:18:a2:d3|-81|
Sep  5, 2018 18:10:00.056796577 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-50|
Sep  5, 2018 18:10:00.069221677 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-47|
Sep  5, 2018 18:10:00.080274843 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-48|
Sep  5, 2018 18:10:00.089867009 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-47|
Sep  5, 2018 18:10:00.101374475 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-47|
Sep  5, 2018 18:10:00.115402918 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-47|
Sep  5, 2018 18:10:00.133652489 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-50|
Sep  5, 2018 18:10:00.144586945 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-50|
Sep  5, 2018 18:10:00.171810428 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-51|
Sep  5, 2018 18:10:00.177469230 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-52|
Sep  5, 2018 18:10:00.190310990 CEST|AmazonTe_b3:6c:70|6c:56:97:b3:6c:70|-58|
