Sep  5, 2018 15:41:59.027689139 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Limonetwork 5 GHz
Sep  5, 2018 15:41:59.028880269 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|szivutca_2
Sep  5, 2018 15:41:59.031241412 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Fasteweb-Casa
Sep  5, 2018 15:41:59.034434743 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:41:59.035724696 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Pc-Gio
Sep  5, 2018 15:41:59.038120166 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Lola3
Sep  5, 2018 15:41:59.040609508 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|TIM-78652545
Sep  5, 2018 15:41:59.041758537 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Vodafone-33789655
Sep  5, 2018 15:41:59.044236663 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|PosteWiFi
Sep  5, 2018 15:41:59.046639343 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|TNCAP40E275
Sep  5, 2018 15:41:59.048853356 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-64|Vodafone Casa
Sep  5, 2018 15:42:00.020203538 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-73|szivutca_2
Sep  5, 2018 15:42:00.047472748 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-74|TIM-78652545
Sep  5, 2018 15:42:01.412445241 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|VodafoneCasa
Sep  5, 2018 15:42:01.414068999 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Vodafone-StoreCarugate
Sep  5, 2018 15:42:01.416521495 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|G3_1743
Sep  5, 2018 15:42:01.419306963 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Limonetwork 5 GHz
Sep  5, 2018 15:42:01.420941007 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|szivutca_2
Sep  5, 2018 15:42:01.423222482 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Fasteweb-Casa
Sep  5, 2018 15:42:01.425123390 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:42:01.426813524 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Pc-Gio
Sep  5, 2018 15:42:01.431245105 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|TIM-78652545
Sep  5, 2018 15:42:01.434969695 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Vodafone-33789655
Sep  5, 2018 15:42:01.437334504 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|PosteWiFi
Sep  5, 2018 15:42:01.439640260 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|TNCAP40E275
Sep  5, 2018 15:42:01.440888974 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Vodafone Casa
Sep  5, 2018 15:42:02.367453824 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Vodafone-StoreCarugate
Sep  5, 2018 15:42:02.369589062 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|G3_1743
Sep  5, 2018 15:42:02.371183192 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Limonetwork 5 GHz
Sep  5, 2018 15:42:02.377542015 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Fasteweb-Casa
Sep  5, 2018 15:42:02.379635822 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Pc-Gio
Sep  5, 2018 15:42:02.384071862 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Lola3
Sep  5, 2018 15:42:02.387811927 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|TIM-78652545
