Sep  5, 2018 15:45:00.143742215 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|G3_1743
Sep  5, 2018 15:45:00.146146455 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|Limonetwork 5 GHz
Sep  5, 2018 15:45:00.148424488 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|szivutca_2
Sep  5, 2018 15:45:00.151589702 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-64|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:45:00.154201682 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-65|Pc-Gio
Sep  5, 2018 15:45:00.156961666 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|Lola3
Sep  5, 2018 15:45:00.158395920 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|TIM-78652545
Sep  5, 2018 15:45:00.159540510 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|Vodafone-33789655
Sep  5, 2018 15:45:00.162063034 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|PosteWiFi
Sep  5, 2018 15:45:00.165606075 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|TNCAP40E275
Sep  5, 2018 15:45:00.167871394 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-63|Vodafone Casa
Sep  5, 2018 15:45:01.116184936 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|TIM-78652545
Sep  5, 2018 15:45:01.117209619 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Vodafone-33789655
Sep  5, 2018 15:45:01.117211371 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|PosteWiFi
Sep  5, 2018 15:45:01.137465747 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-70|VodafoneCasa
Sep  5, 2018 15:45:01.165537543 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-71|Lola3
Sep  5, 2018 15:45:01.245964552 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-72|
Sep  5, 2018 15:45:01.255658832 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-70|
Sep  5, 2018 15:45:03.285759074 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-79|NW2
Sep  5, 2018 15:45:03.328792517 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-86|NW2
Sep  5, 2018 15:45:05.932544161 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-88|polimi-protected
Sep  5, 2018 15:45:05.943838144 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-89|polimi-protected
Sep  5, 2018 15:45:07.081173683 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-87|NW2
Sep  5, 2018 15:45:08.128653180 CEST|HonHaiPr_e9:d7:67|14:2d:27:e9:d7:67|-65|
Sep  5, 2018 15:45:08.146262219 CEST|HonHaiPr_e9:d7:67|14:2d:27:e9:d7:67|-69|
Sep  5, 2018 15:45:08.384688886 CEST|HonHaiPr_e9:d7:67|14:2d:27:e9:d7:67|-71|
