Sep  5, 2018 18:07:00.632074511 CEST|7e:2d:85:c1:cd:a3|7e:2d:85:c1:cd:a3|-90|
Sep  5, 2018 18:07:00.653893626 CEST|7e:2d:85:c1:cd:a3|7e:2d:85:c1:cd:a3|-93|
Sep  5, 2018 18:07:00.955404922 CEST|Google_d3:af:e8|da:a1:19:d3:af:e8|-91|
Sep  5, 2018 18:07:01.061339363 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-89|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:07:01.119687598 CEST|32:09:d8:4b:88:2f|32:09:d8:4b:88:2f|-69|
Sep  5, 2018 18:07:01.214987418 CEST|ae:6e:52:81:da:a9|ae:6e:52:81:da:a9|-64|
Sep  5, 2018 18:07:01.235093874 CEST|ae:6e:52:81:da:a9|ae:6e:52:81:da:a9|-70|
Sep  5, 2018 18:07:01.240643631 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-49|
Sep  5, 2018 18:07:01.246544059 CEST|HuaweiTe_0e:59:1a|24:00:ba:0e:59:1a|-41|
Sep  5, 2018 18:07:01.261220404 CEST|ae:6e:52:81:da:a9|ae:6e:52:81:da:a9|-73|
Sep  5, 2018 18:07:01.279274748 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-50|
Sep  5, 2018 18:07:01.286646540 CEST|HuaweiTe_0e:59:1a|24:00:ba:0e:59:1a|-44|
Sep  5, 2018 18:07:01.320571342 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-52|
Sep  5, 2018 18:07:01.361148172 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-53|
Sep  5, 2018 18:07:01.570399408 CEST|Guangdon_67:0c:5b|44:66:fc:67:0c:5b|-92|
Sep  5, 2018 18:07:01.759371872 CEST|SamsungE_0a:f2:0a|ec:1f:72:0a:f2:0a|-74|
Sep  5, 2018 18:07:01.807178693 CEST|SamsungE_0a:f2:0a|ec:1f:72:0a:f2:0a|-73|
Sep  5, 2018 18:07:01.841111470 CEST|SamsungE_0a:f2:0a|ec:1f:72:0a:f2:0a|-68|
Sep  5, 2018 18:07:01.880980086 CEST|SamsungE_0a:f2:0a|ec:1f:72:0a:f2:0a|-68|
Sep  5, 2018 18:07:02.394644417 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-82|
Sep  5, 2018 18:07:02.433468562 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-83|
Sep  5, 2018 18:07:02.781197373 CEST|be:59:dd:bf:a0:0a|be:59:dd:bf:a0:0a|-50|
Sep  5, 2018 18:07:02.803785724 CEST|be:59:dd:bf:a0:0a|be:59:dd:bf:a0:0a|-51|
Sep  5, 2018 18:07:03.050627208 CEST|SamsungE_a7:45:03|4c:66:41:a7:45:03|-77|
Sep  5, 2018 18:07:03.104648784 CEST|b6:0a:5e:0d:e1:25|b6:0a:5e:0d:e1:25|-80|
Sep  5, 2018 18:07:03.114390325 CEST|b6:0a:5e:0d:e1:25|b6:0a:5e:0d:e1:25|-79|
Sep  5, 2018 18:07:03.134111435 CEST|SamsungE_a7:45:03|4c:66:41:a7:45:03|-87|
Sep  5, 2018 18:07:03.136475730 CEST|b6:0a:5e:0d:e1:25|b6:0a:5e:0d:e1:25|-82|
Sep  5, 2018 18:07:03.157286616 CEST|b6:0a:5e:0d:e1:25|b6:0a:5e:0d:e1:25|-84|
Sep  5, 2018 18:07:03.712710601 CEST|Motorola_8d:fb:71|64:db:43:8d:fb:71|-90|
Sep  5, 2018 18:07:03.815520268 CEST|92:72:d9:97:69:52|92:72:d9:97:69:52|-58|
Sep  5, 2018 18:07:03.986870804 CEST|b2:88:be:c5:97:cf|b2:88:be:c5:97:cf|-86|
Sep  5, 2018 18:07:04.006909915 CEST|b2:88:be:c5:97:cf|b2:88:be:c5:97:cf|-84|
Sep  5, 2018 18:07:04.470857034 CEST|76:46:db:4d:d4:68|76:46:db:4d:d4:68|-44|
Sep  5, 2018 18:07:04.494532596 CEST|76:46:db:4d:d4:68|76:46:db:4d:d4:68|-44|
Sep  5, 2018 18:07:04.657556908 CEST|aa:cc:94:3f:06:77|aa:cc:94:3f:06:77|-48|
Sep  5, 2018 18:07:04.686846766 CEST|Google_01:85:98|da:a1:19:01:85:98|-89|
Sep  5, 2018 18:07:04.693756425 CEST|02:b5:89:bd:f3:21|02:b5:89:bd:f3:21|-50|
Sep  5, 2018 18:07:04.710019112 CEST|Google_01:85:98|da:a1:19:01:85:98|-90|
Sep  5, 2018 18:07:04.748891939 CEST|02:b5:89:bd:f3:21|02:b5:89:bd:f3:21|-51|
Sep  5, 2018 18:07:04.815816805 CEST|02:b5:89:bd:f3:21|02:b5:89:bd:f3:21|-60|
Sep  5, 2018 18:07:04.862451245 CEST|02:b5:89:bd:f3:21|02:b5:89:bd:f3:21|-61|
Sep  5, 2018 18:07:04.898276005 CEST|a2:4b:cf:d1:75:a6|a2:4b:cf:d1:75:a6|-76|
Sep  5, 2018 18:07:04.918634159 CEST|a2:4b:cf:d1:75:a6|a2:4b:cf:d1:75:a6|-74|
Sep  5, 2018 18:07:05.230099986 CEST|Google_1e:17:74|da:a1:19:1e:17:74|-70|
Sep  5, 2018 18:07:05.269432043 CEST|Google_1e:17:74|da:a1:19:1e:17:74|-70|
Sep  5, 2018 18:07:05.309134284 CEST|Google_1e:17:74|da:a1:19:1e:17:74|-78|
Sep  5, 2018 18:07:05.597291333 CEST|Apple_c2:c3:2b|54:ea:a8:c2:c3:2b|-81|
Sep  5, 2018 18:07:05.627030611 CEST|2e:e6:ba:ef:22:5b|2e:e6:ba:ef:22:5b|-49|
Sep  5, 2018 18:07:05.647168933 CEST|2e:e6:ba:ef:22:5b|2e:e6:ba:ef:22:5b|-51|
Sep  5, 2018 18:07:06.033269199 CEST|f6:d4:57:6c:fa:e6|f6:d4:57:6c:fa:e6|-85|
Sep  5, 2018 18:07:06.475793616 CEST|AsustekC_3b:09:2b|38:d5:47:3b:09:2b|-91|
Sep  5, 2018 18:07:06.551913904 CEST|Google_4e:8a:ef|da:a1:19:4e:8a:ef|-65|Jointly
Sep  5, 2018 18:07:06.553299211 CEST|Google_4e:8a:ef|da:a1:19:4e:8a:ef|-62|
Sep  5, 2018 18:07:06.614737718 CEST|Google_4e:8a:ef|da:a1:19:4e:8a:ef|-69|Jointly
Sep  5, 2018 18:07:06.615983218 CEST|Google_4e:8a:ef|da:a1:19:4e:8a:ef|-68|
Sep  5, 2018 18:07:06.869877372 CEST|IntelCor_78:93:49|00:db:df:78:93:49|-94|
Sep  5, 2018 18:07:07.034710741 CEST|5e:79:c6:ab:8b:26|5e:79:c6:ab:8b:26|-49|
Sep  5, 2018 18:07:07.058293764 CEST|5e:79:c6:ab:8b:26|5e:79:c6:ab:8b:26|-49|
Sep  5, 2018 18:07:07.079692685 CEST|5e:79:c6:ab:8b:26|5e:79:c6:ab:8b:26|-55|
Sep  5, 2018 18:07:07.099849908 CEST|5e:79:c6:ab:8b:26|5e:79:c6:ab:8b:26|-53|
Sep  5, 2018 18:07:07.129766580 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-66|
Sep  5, 2018 18:07:07.554525694 CEST|7e:30:7b:80:3c:e8|7e:30:7b:80:3c:e8|-95|
Sep  5, 2018 18:07:07.557596169 CEST|7e:30:7b:80:3c:e8|7e:30:7b:80:3c:e8|-87|
Sep  5, 2018 18:07:07.576295368 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-78|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:07:07.658873697 CEST|56:4c:68:b1:c5:50|56:4c:68:b1:c5:50|-89|
Sep  5, 2018 18:07:07.736814382 CEST|7e:2d:85:c1:cd:a3|7e:2d:85:c1:cd:a3|-83|
