Sep  5, 2018 18:06:00.526911866 CEST|Google_db:7e:3e|da:a1:19:db:7e:3e|-87|
Sep  5, 2018 18:06:00.852546545 CEST|LiteonTe_93:fd:46|18:cf:5e:93:fd:46|-60|
Sep  5, 2018 18:06:00.899427359 CEST|LiteonTe_93:fd:46|18:cf:5e:93:fd:46|-59|
Sep  5, 2018 18:06:01.107233694 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-72|
Sep  5, 2018 18:06:01.122076424 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-70|Telecom-66857315
Sep  5, 2018 18:06:01.152294052 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-70|
Sep  5, 2018 18:06:01.153401799 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-70|Telecom-66857315
Sep  5, 2018 18:06:01.159573524 CEST|22:b8:eb:ac:9f:60|22:b8:eb:ac:9f:60|-77|
Sep  5, 2018 18:06:01.197002622 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-66|Telecom-66857315
Sep  5, 2018 18:06:01.234024999 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-72|
Sep  5, 2018 18:06:01.235632811 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-71|Telecom-66857315
Sep  5, 2018 18:06:01.322121188 CEST|Google_2b:c7:c5|da:a1:19:2b:c7:c5|-81|
Sep  5, 2018 18:06:01.429509713 CEST|9a:d5:97:75:23:68|9a:d5:97:75:23:68|-83|
Sep  5, 2018 18:06:01.434516593 CEST|9a:d5:97:75:23:68|9a:d5:97:75:23:68|-82|
Sep  5, 2018 18:06:01.501859180 CEST|HuaweiTe_52:aa:c5|20:a6:80:52:aa:c5|-91|
Sep  5, 2018 18:06:01.665480051 CEST|66:b6:63:3d:dd:72|66:b6:63:3d:dd:72|-51|
Sep  5, 2018 18:06:01.697444080 CEST|66:b6:63:3d:dd:72|66:b6:63:3d:dd:72|-63|
Sep  5, 2018 18:06:01.800750944 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-88|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:06:01.852648583 CEST|26:74:5a:fa:9a:6b|26:74:5a:fa:9a:6b|-73|
Sep  5, 2018 18:06:01.873788559 CEST|26:74:5a:fa:9a:6b|26:74:5a:fa:9a:6b|-69|
Sep  5, 2018 18:06:01.895838907 CEST|26:74:5a:fa:9a:6b|26:74:5a:fa:9a:6b|-74|
Sep  5, 2018 18:06:01.920198182 CEST|26:74:5a:fa:9a:6b|26:74:5a:fa:9a:6b|-74|
Sep  5, 2018 18:06:02.043431576 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-82|ISPMobile
Sep  5, 2018 18:06:02.138037726 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-78|ISPMobile
Sep  5, 2018 18:06:02.138345432 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-78|
Sep  5, 2018 18:06:02.157056202 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-80|ISPMobile
Sep  5, 2018 18:06:02.158318938 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-81|
Sep  5, 2018 18:06:02.167030398 CEST|32:2f:ca:71:0b:64|32:2f:ca:71:0b:64|-79|
Sep  5, 2018 18:06:02.180934891 CEST|32:2f:ca:71:0b:64|32:2f:ca:71:0b:64|-74|
Sep  5, 2018 18:06:02.211145079 CEST|9e:be:45:0b:49:a3|9e:be:45:0b:49:a3|-44|
Sep  5, 2018 18:06:02.233276560 CEST|9e:be:45:0b:49:a3|9e:be:45:0b:49:a3|-43|
Sep  5, 2018 18:06:02.255332617 CEST|9e:be:45:0b:49:a3|9e:be:45:0b:49:a3|-48|
Sep  5, 2018 18:06:02.275300108 CEST|9e:be:45:0b:49:a3|9e:be:45:0b:49:a3|-47|
Sep  5, 2018 18:06:02.279598447 CEST|ee:4f:f7:77:c7:15|ee:4f:f7:77:c7:15|-82|
Sep  5, 2018 18:06:02.427017843 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-76|ISPMobile
Sep  5, 2018 18:06:02.428148031 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-76|
Sep  5, 2018 18:06:02.469138649 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-75|ISPMobile
Sep  5, 2018 18:06:02.471123877 CEST|Microsof_1c:82:4c|a4:51:6f:1c:82:4c|-75|
Sep  5, 2018 18:06:02.759532720 CEST|SamsungE_84:72:65|d0:b1:28:84:72:65|-93|
Sep  5, 2018 18:06:02.795119368 CEST|SamsungE_84:72:65|d0:b1:28:84:72:65|-91|
Sep  5, 2018 18:06:02.906895003 CEST|SamsungE_84:72:65|d0:b1:28:84:72:65|-88|
Sep  5, 2018 18:06:03.012198276 CEST|66:b6:63:3d:dd:72|66:b6:63:3d:dd:72|-37|
Sep  5, 2018 18:06:03.539200776 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-52|
Sep  5, 2018 18:06:03.578911197 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-51|
Sep  5, 2018 18:06:03.620347967 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-54|
Sep  5, 2018 18:06:03.660632641 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-53|
Sep  5, 2018 18:06:03.723697668 CEST|66:b4:c2:19:9f:07|66:b4:c2:19:9f:07|-86|
Sep  5, 2018 18:06:04.205646914 CEST|16:d9:78:6f:27:2c|16:d9:78:6f:27:2c|-61|
Sep  5, 2018 18:06:04.231658609 CEST|16:d9:78:6f:27:2c|16:d9:78:6f:27:2c|-60|
Sep  5, 2018 18:06:04.460719859 CEST|22:9f:98:75:c1:2a|22:9f:98:75:c1:2a|-86|
Sep  5, 2018 18:06:04.480702221 CEST|22:9f:98:75:c1:2a|22:9f:98:75:c1:2a|-83|
Sep  5, 2018 18:06:04.504408986 CEST|22:9f:98:75:c1:2a|22:9f:98:75:c1:2a|-86|
Sep  5, 2018 18:06:04.508899750 CEST|e2:82:cd:4c:23:2f|e2:82:cd:4c:23:2f|-95|
Sep  5, 2018 18:06:04.587108636 CEST|Google_9a:45:16|da:a1:19:9a:45:16|-92|
Sep  5, 2018 18:06:04.607655092 CEST|Google_9a:45:16|da:a1:19:9a:45:16|-92|
Sep  5, 2018 18:06:04.616721527 CEST|62:51:72:10:d9:fb|62:51:72:10:d9:fb|-40|
Sep  5, 2018 18:06:04.630824422 CEST|62:51:72:10:d9:fb|62:51:72:10:d9:fb|-45|
Sep  5, 2018 18:06:04.653115254 CEST|62:51:72:10:d9:fb|62:51:72:10:d9:fb|-48|
Sep  5, 2018 18:06:04.672832517 CEST|62:51:72:10:d9:fb|62:51:72:10:d9:fb|-49|
Sep  5, 2018 18:06:05.275062587 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-64|
Sep  5, 2018 18:06:05.321615159 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-64|
Sep  5, 2018 18:06:05.839728154 CEST|Apple_34:90:64|b8:8d:12:34:90:64|-97|Vodafone-WiFi
Sep  5, 2018 18:06:06.171202426 CEST|46:67:4f:b5:c3:cc|46:67:4f:b5:c3:cc|-81|
Sep  5, 2018 18:06:06.190458847 CEST|46:67:4f:b5:c3:cc|46:67:4f:b5:c3:cc|-82|
Sep  5, 2018 18:06:06.929535409 CEST|f2:74:8f:2a:75:d2|f2:74:8f:2a:75:d2|-95|
Sep  5, 2018 18:06:06.944998056 CEST|66:41:42:cd:f3:0d|66:41:42:cd:f3:0d|-60|
Sep  5, 2018 18:06:06.957530879 CEST|66:41:42:cd:f3:0d|66:41:42:cd:f3:0d|-59|
Sep  5, 2018 18:06:06.995722362 CEST|Google_80:11:c1|da:a1:19:80:11:c1|-72|Jointly
Sep  5, 2018 18:06:06.999537422 CEST|Google_80:11:c1|da:a1:19:80:11:c1|-69|
Sep  5, 2018 18:06:07.027078672 CEST|5a:fe:a7:e3:b4:33|5a:fe:a7:e3:b4:33|-63|
Sep  5, 2018 18:06:07.043469730 CEST|5a:fe:a7:e3:b4:33|5a:fe:a7:e3:b4:33|-63|
Sep  5, 2018 18:06:07.053427738 CEST|Google_80:11:c1|da:a1:19:80:11:c1|-75|
Sep  5, 2018 18:06:07.065391706 CEST|Google_80:11:c1|da:a1:19:80:11:c1|-80|Jointly
Sep  5, 2018 18:06:07.066491990 CEST|Google_80:11:c1|da:a1:19:80:11:c1|-80|
Sep  5, 2018 18:06:07.660583231 CEST|Microsof_10:44:88|50:1a:c5:10:44:88|-75|
Sep  5, 2018 18:06:07.664421207 CEST|Microsof_10:44:88|50:1a:c5:10:44:88|-74|
Sep  5, 2018 18:06:07.665000597 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-72|
Sep  5, 2018 18:06:07.665966475 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-74|
Sep  5, 2018 18:06:07.724799873 CEST|AsustekC_ac:8e:c5|70:4d:7b:ac:8e:c5|-82|
Sep  5, 2018 18:06:07.789417308 CEST|IntelCor_54:79:be|e8:2a:ea:54:79:be|-77|
Sep  5, 2018 18:06:08.033204163 CEST|7e:b7:f5:0a:b3:8a|7e:b7:f5:0a:b3:8a|-90|
Sep  5, 2018 18:06:08.060060543 CEST|7e:b7:f5:0a:b3:8a|7e:b7:f5:0a:b3:8a|-87|
Sep  5, 2018 18:06:08.317101594 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-92|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:06:08.606790200 CEST|HuaweiTe_ce:62:e6|d4:a1:48:ce:62:e6|-90|
Sep  5, 2018 18:06:08.730021443 CEST|fe:8f:8b:e6:3f:bc|fe:8f:8b:e6:3f:bc|-69|
Sep  5, 2018 18:06:08.749078272 CEST|fe:8f:8b:e6:3f:bc|fe:8f:8b:e6:3f:bc|-76|
Sep  5, 2018 18:06:08.789573055 CEST|42:72:9d:94:57:9a|42:72:9d:94:57:9a|-68|
