Sep  5, 2018 15:35:35.418378449 CEST|Google_3c:9c:89|da:a1:19:3c:9c:89|-70|
Sep  5, 2018 15:35:35.439011144 CEST|Google_3c:9c:89|da:a1:19:3c:9c:89|-70|
Sep  5, 2018 15:35:35.567009216 CEST|Google_3c:9c:89|da:a1:19:3c:9c:89|-73|
Sep  5, 2018 15:35:35.585095721 CEST|Google_3c:9c:89|da:a1:19:3c:9c:89|-71|
Sep  5, 2018 15:35:35.618702165 CEST|5a:e9:d8:a6:1d:10|5a:e9:d8:a6:1d:10|-99|
Sep  5, 2018 15:35:37.938801411 CEST|36:37:3e:22:8d:c4|36:37:3e:22:8d:c4|-90|
Sep  5, 2018 15:35:38.304235891 CEST|Apple_ca:11:0d|ac:e4:b5:ca:11:0d|-93|polimi-protected
Sep  5, 2018 15:35:39.713557053 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-88|
Sep  5, 2018 15:35:39.724176416 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-90|
Sep  5, 2018 15:35:40.916546357 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-67|IoTPolimi
Sep  5, 2018 15:35:40.940033099 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-66|IoTPolimi
Sep  5, 2018 15:35:40.944372319 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-66|IoTPolimi
Sep  5, 2018 15:35:40.977916108 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-65|IoTPolimi
Sep  5, 2018 15:35:41.120301193 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-64|IoTPolimi
Sep  5, 2018 15:35:41.120868062 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-63|IoTPolimi
Sep  5, 2018 15:35:41.120871607 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-63|IoTPolimi
Sep  5, 2018 15:35:41.215632432 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-64|IoTPolimi
Sep  5, 2018 15:35:41.302569181 CEST|NewportM_f7:1a:0a|f8:f0:05:f7:1a:0a|-75|IoTPolimi
Sep  5, 2018 15:35:41.366288678 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-69|wlan_saltuaria
Sep  5, 2018 15:35:41.375828787 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-69|wlan_saltuaria
Sep  5, 2018 15:35:41.469792674 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-70|wlan_saltuaria
Sep  5, 2018 15:35:43.036954562 CEST|ce:43:ce:a1:9e:38|ce:43:ce:a1:9e:38|-86|
Sep  5, 2018 15:35:44.220634615 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-77|
Sep  5, 2018 15:35:44.338745751 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-87|
Sep  5, 2018 15:35:44.346382788 CEST|Apple_22:77:5d|64:70:33:22:77:5d|-85|
Sep  5, 2018 15:35:44.627204123 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-80|
Sep  5, 2018 15:35:44.914516559 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-75|
Sep  5, 2018 15:35:45.177781043 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-81|
Sep  5, 2018 15:35:45.196662866 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-80|
Sep  5, 2018 15:35:48.844032437 CEST|Google_6f:60:50|da:a1:19:6f:60:50|-85|polimi-protected
Sep  5, 2018 15:35:53.309569497 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-89|
Sep  5, 2018 15:35:53.332580086 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-88|
Sep  5, 2018 15:35:54.780748486 CEST|ca:30:d1:a3:1d:b2|ca:30:d1:a3:1d:b2|-83|
Sep  5, 2018 15:35:55.192255694 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-76|
Sep  5, 2018 15:35:55.208260551 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-74|
Sep  5, 2018 15:35:55.215161787 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-75|
Sep  5, 2018 15:35:55.227957652 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-74|
Sep  5, 2018 15:35:55.243034136 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-79|
Sep  5, 2018 15:35:55.247983881 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-79|
Sep  5, 2018 15:35:55.322390467 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-90|
Sep  5, 2018 15:35:55.336706699 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-87|
Sep  5, 2018 15:35:55.603144886 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-86|
Sep  5, 2018 15:35:56.448264472 CEST|Apple_12:a4:f8|58:40:4e:12:a4:f8|-95|eduroam
Sep  5, 2018 15:35:56.450544458 CEST|Apple_12:a4:f8|58:40:4e:12:a4:f8|-93|eduroam
Sep  5, 2018 15:35:58.836648276 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|VodafoneCasa
Sep  5, 2018 15:35:58.837830264 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Vodafone-StoreCarugate
Sep  5, 2018 15:35:58.840205762 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|G3_1743
Sep  5, 2018 15:35:58.843672362 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Limonetwork 5 GHz
Sep  5, 2018 15:35:58.846003564 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|szivutca_2
