Sep  5, 2018 15:47:00.062412438 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Lola3
Sep  5, 2018 15:47:00.067242446 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|TIM-78652545
Sep  5, 2018 15:47:00.068503808 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Vodafone-33789655
Sep  5, 2018 15:47:00.069649649 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|PosteWiFi
Sep  5, 2018 15:47:00.072067897 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TNCAP40E275
Sep  5, 2018 15:47:00.074497881 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Vodafone Casa
Sep  5, 2018 15:47:00.973853588 CEST|SamsungE_ad:f6:69|30:07:4d:ad:f6:69|-74|
Sep  5, 2018 15:47:01.007077123 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|szivutca_2
Sep  5, 2018 15:47:01.009478582 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Fasteweb-Casa
Sep  5, 2018 15:47:01.014131874 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Pc-Gio
Sep  5, 2018 15:47:01.016549129 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Lola3
Sep  5, 2018 15:47:01.022034273 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|PosteWiFi
Sep  5, 2018 15:47:01.026584224 CEST|1e:44:0f:0d:f5:28|1e:44:0f:0d:f5:28||
Sep  5, 2018 15:47:01.357696838 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-95|
Sep  5, 2018 15:47:04.132790466 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-84|
Sep  5, 2018 15:47:04.159111612 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-80|
Sep  5, 2018 15:47:05.758395910 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-46|
Sep  5, 2018 15:47:08.178385383 CEST|HonHaiPr_e9:d7:67|14:2d:27:e9:d7:67|-69|
Sep  5, 2018 15:47:08.191502226 CEST|HonHaiPr_e9:d7:67|14:2d:27:e9:d7:67|-71|
Sep  5, 2018 15:47:09.064867945 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-74|
Sep  5, 2018 15:47:09.083990890 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-75|
Sep  5, 2018 15:47:09.111140138 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-75|
Sep  5, 2018 15:47:09.133668776 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-75|
Sep  5, 2018 15:47:09.209982581 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-80|
Sep  5, 2018 15:47:10.210659150 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-59|wlan_saltuaria
Sep  5, 2018 15:47:10.221645302 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-60|wlan_saltuaria
Sep  5, 2018 15:47:10.258731078 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-60|wlan_saltuaria
