Sep  5, 2018 15:54:59.804659186 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Vodafone-StoreCarugate
Sep  5, 2018 15:54:59.806948701 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|G3_1743
Sep  5, 2018 15:54:59.813084688 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Fasteweb-Casa
Sep  5, 2018 15:54:59.821457691 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Pc-Gio
Sep  5, 2018 15:54:59.823716033 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Lola3
Sep  5, 2018 15:54:59.826220122 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|TIM-78652545
Sep  5, 2018 15:54:59.829695279 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Vodafone-33789655
Sep  5, 2018 15:54:59.830960320 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|PosteWiFi
Sep  5, 2018 15:54:59.831917669 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TNCAP40E275
Sep  5, 2018 15:54:59.835580229 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Vodafone Casa
Sep  5, 2018 15:55:00.771060852 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:55:00.773668602 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Pc-Gio
Sep  5, 2018 15:55:00.776440741 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Lola3
Sep  5, 2018 15:55:00.777660072 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|TIM-78652545
Sep  5, 2018 15:55:00.783269425 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Vodafone Casa
Sep  5, 2018 15:55:00.812035667 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Pc-Gio
Sep  5, 2018 15:55:00.823251996 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|Vodafone Casa
Sep  5, 2018 15:55:01.259571910 CEST|Shenzhen_3b:f5:ba|b0:a2:e7:3b:f5:ba|-91|
Sep  5, 2018 15:55:01.283830673 CEST|Shenzhen_3b:f5:ba|b0:a2:e7:3b:f5:ba|-91|
Sep  5, 2018 15:55:01.520849769 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-64|
Sep  5, 2018 15:55:01.529702122 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-65|
Sep  5, 2018 15:55:01.550852687 CEST|LiteonTe_3f:e3:7d|30:10:b3:3f:e3:7d|-66|
