Sep  5, 2018 15:33:51.980296694 CEST|Apple_1b:ea:53|8c:85:90:1b:ea:53|-72|wlan_saltuaria
Sep  5, 2018 15:33:51.983999903 CEST|Apple_1b:ea:53|8c:85:90:1b:ea:53|-73|wlan_saltuaria
Sep  5, 2018 15:33:53.271891756 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-90|
Sep  5, 2018 15:33:56.945750289 CEST|IntelCor_c5:9a:d1|84:ef:18:c5:9a:d1|-86|
Sep  5, 2018 15:33:58.008968463 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Vodafone-StoreCarugate
Sep  5, 2018 15:33:58.011447046 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|G3_1743
Sep  5, 2018 15:33:58.022079193 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Limonetwork 5 GHz
Sep  5, 2018 15:33:58.022081022 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-64|szivutca_2
Sep  5, 2018 15:33:58.023038439 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Fasteweb-Casa
Sep  5, 2018 15:33:58.023049718 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|FASTWEB-1-nYDGBB3X7wkN
Sep  5, 2018 15:33:58.024074792 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-62|Pc-Gio
Sep  5, 2018 15:33:58.026787166 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Lola3
Sep  5, 2018 15:33:58.036093339 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TNCAP40E275
Sep  5, 2018 15:33:58.039676477 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-56|Vodafone Casa
Sep  5, 2018 15:33:58.342422475 CEST|12:0a:2a:53:5a:3e|12:0a:2a:53:5a:3e|-87|
Sep  5, 2018 15:33:58.957040585 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|VodafoneCasa
Sep  5, 2018 15:33:58.958191587 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-68|Vodafone-StoreCarugate
Sep  5, 2018 15:33:58.960414103 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Limonetwork 5 GHz
Sep  5, 2018 15:33:58.962550289 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|szivutca_2
Sep  5, 2018 15:33:58.964652732 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-64|Fasteweb-Casa
Sep  5, 2018 15:33:58.989260344 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|Vodafone-33789655
Sep  5, 2018 15:33:58.990162022 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|PosteWiFi
Sep  5, 2018 15:33:58.990164139 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-67|TNCAP40E275
